Class,Primary,Secondary,Description
Barbarian,Strength,Constitution,A fierce warrior of primitive background who can enter a battle rage.
Bard,Charisma,Dexterity,An inspiring magician whose power echoes the music of creation.
Cleric,Wisdom,Charisma,A priestly champion who wields divine magic in service of a higher power.
Druid,Wisdom,Intelligence,"A priest of the Old Faith, wielding the powers of nature — and adopting animal forms."
Fighter,Strength,Dexterity,"A master of martial combat, skilled with a variety of weapons and armor."
Monk,Dexterity,Strength,"A master of martial arts, harnessing the power of the body in pursuit of physical and spiritual perfection."
Paladin,Strength,Charisma,A holy warrior bound to a sacred oath.
Ranger,Dexterity,Wisdom,A warrior who uses martial prowess and nature magic to combat threats on the edges of civilization.
Rogue,Dexterity,Intelligence,A scoundrel who uses stealth and trickery to overcome obstacles and enemies.
Sorcerer,Charisma,Constitution,A spellcaster who draws on inherent magic from a gift or bloodline.
Warlock,Charisma,Wisdom,A wielder of magic that is derived from a bargain with an extraplanar entity.
Wizard,Intelligence,Wisdom,A scholarly magic-user capable of manipulating the structures of reality.
